,Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Length of specimen (mm),28-day flexural strength (MPa)
Cement-to-cm,1.0,0.14631079494783397,-0.5402983241568935,-0.6205915208684021,-0.39990938374757207,-0.008124589838097102,0.37516836180024227,0.18162990017319244,0.414995973732273,-0.23680217138233572,0.2233380259490481,0.5411095023125141,0.37169196129835086,-0.33751083213621413,-0.2607684012235405,0.15417361093483017,-0.14509183100364037
Cement type (MPa),0.14631079494783397,1.0,0.3393569423018517,-0.13891258127991765,-0.6055062960753179,-0.03171695173849869,0.38716949794041866,-0.017050442333115316,-0.018781968823290706,-0.183664309928001,0.3072323369874864,0.04367054038118733,0.5955196037549095,0.09560985453902085,0.12285209356333439,0.11326027922871183,-0.12722120025373315
Fly ash-to-cm,-0.5402983241568935,0.3393569423018517,1.0,-0.1400238788035101,-0.1963597979117595,0.016087374904776856,-0.1836900818456728,-0.13096960672345095,-0.28185719294837475,0.06148224165987882,-0.21105808257883293,-0.3803089344387638,-0.09627020720850252,0.23771582193361207,0.18585826243466513,-0.2721258705423659,0.03714771089431481
Slag-to-cm,-0.6205915208684021,-0.13891258127991765,-0.1400238788035101,1.0,0.24754180685234678,-0.16268871127871454,-0.07232209361161512,-0.08402590303414365,-0.14592927953576817,0.15145457233212145,-0.13540810287984031,-0.33470648676341525,-0.056513060060290554,0.20289253352749026,0.1278856225588976,-0.026741473877574473,0.04554889770895887
Silica fume-to-cm,-0.39990938374757207,-0.6055062960753179,-0.1963597979117595,0.24754180685234678,1.0,-0.3921443918037136,-0.4071398683785891,-0.2713301846704779,-0.2696287630874777,0.02358813167250612,0.07918580838309656,-0.4078582806781139,-0.5064832666390625,0.2035638887553216,0.18260716890652723,0.11683204071929511,0.339895240738876
Metakaolin-to-cm,-0.008124589838097102,-0.03171695173849869,0.016087374904776856,-0.16268871127871454,-0.3921443918037136,1.0,-0.17231856853280028,0.3156083028672806,-0.021720011635453982,0.21852120481166154,-0.13372078048935646,0.4422066307985017,-0.17824074388611946,-0.2153831801410208,-0.18047417108061267,0.04336488245495901,-0.2444547856476825
Nano silica-to-cm,0.37516836180024227,0.38716949794041866,-0.1836900818456728,-0.07232209361161512,-0.4071398683785891,-0.17231856853280028,1.0,0.1742055716040391,0.5219729343574052,0.05622190074781913,0.2561221026112376,0.43243888738854797,0.8404616031900816,-0.1496905546837652,-0.03468325056432069,-0.12285689922684535,-0.20697997628731685
Limestone-to-cm,0.18162990017319244,-0.017050442333115316,-0.13096960672345095,-0.08402590303414365,-0.2713301846704779,0.3156083028672806,0.1742055716040391,1.0,0.39336280284580627,-0.053432712941625396,-0.06906446825188375,0.5136584221190112,0.27899424949195895,-0.2259402667313234,-0.22604653405380307,-0.05916091872059467,-0.24154900453575678
Quartz powder-to-cm,0.414995973732273,-0.018781968823290706,-0.28185719294837475,-0.14592927953576817,-0.2696287630874777,-0.021720011635453982,0.5219729343574052,0.39336280284580627,1.0,-0.11199063321979696,-0.011821755569774607,0.6059292655560887,0.4085031528597197,-0.5665064277028621,-0.5313531096271972,-0.13503607808043583,-0.4416621419784755
Sand-to-cm,-0.23680217138233572,-0.183664309928001,0.06148224165987882,0.15145457233212145,0.02358813167250612,0.21852120481166154,0.05622190074781913,-0.053432712941625396,-0.11199063321979696,1.0,0.128018902195327,0.0535949409481581,0.01148911017539429,0.06431994755436093,0.0662943677733191,0.3240977068309203,-0.04733422943755826
Maximum aggregate size (mm),0.2233380259490481,0.3072323369874864,-0.21105808257883293,-0.13540810287984031,0.07918580838309656,-0.13372078048935646,0.2561221026112376,-0.06906446825188375,-0.011821755569774607,0.128018902195327,1.0,0.15953126673650328,0.30562580274324747,0.060238729874750256,0.12501464654148994,0.7031137247210851,0.1730325528559343
Water-to-cm,0.5411095023125141,0.04367054038118733,-0.3803089344387638,-0.33470648676341525,-0.4078582806781139,0.4422066307985017,0.43243888738854797,0.5136584221190112,0.6059292655560887,0.0535949409481581,0.15953126673650328,1.0,0.36464602819087955,-0.4892702309122423,-0.4095616596305914,0.0646909759699596,-0.4087495755167661
Superplasticizer-to-cm,0.37169196129835086,0.5955196037549095,-0.09627020720850252,-0.056513060060290554,-0.5064832666390625,-0.17824074388611946,0.8404616031900816,0.27899424949195895,0.4085031528597197,0.01148911017539429,0.30562580274324747,0.36464602819087955,1.0,-0.056862541239585805,-5.756714644555737e-05,0.003759703537888972,-0.20341190417036176
Steel fiber volume (%),-0.33751083213621413,0.09560985453902085,0.23771582193361207,0.20289253352749026,0.2035638887553216,-0.2153831801410208,-0.1496905546837652,-0.2259402667313234,-0.5665064277028621,0.06431994755436093,0.060238729874750256,-0.4892702309122423,-0.056862541239585805,1.0,0.8755558323134901,-0.0688146070631867,0.6986251535459215
Aspect ratio of fibers,-0.2607684012235405,0.12285209356333439,0.18585826243466513,0.1278856225588976,0.18260716890652723,-0.18047417108061267,-0.03468325056432069,-0.22604653405380307,-0.5313531096271972,0.0662943677733191,0.12501464654148994,-0.4095616596305914,-5.756714644555737e-05,0.8755558323134901,1.0,-0.02927513011338347,0.6462874814644227
Length of specimen (mm),0.15417361093483017,0.11326027922871183,-0.2721258705423659,-0.026741473877574473,0.11683204071929511,0.04336488245495901,-0.12285689922684535,-0.05916091872059467,-0.13503607808043583,0.3240977068309203,0.7031137247210851,0.0646909759699596,0.003759703537888972,-0.0688146070631867,-0.02927513011338347,1.0,0.1121286215512973
28-day flexural strength (MPa),-0.14509183100364037,-0.12722120025373315,0.03714771089431481,0.04554889770895887,0.339895240738876,-0.2444547856476825,-0.20697997628731685,-0.24154900453575678,-0.4416621419784755,-0.04733422943755826,0.1730325528559343,-0.4087495755167661,-0.20341190417036176,0.6986251535459215,0.6462874814644227,0.1121286215512973,1.0
